N;Group;art;catonto#1;catonto#2;catframe#1;catframe#2;catframe#3;catframe#GPT;topic;agentive;functional;biological;container;scattered;part/feature;heap;place;abstract (no space-time);iconic;fictionary;autonomous;Interaction;tot TAS-20;Difficulty Describing Feelings;Difficulty Identifying Feeling;Externally-Oriented Thinking;Extraversion; Agreeableness;Conscientiousness;Neuroticism;Openness;Self/Everyday Creativity;Scholarly Creativity;Performance Creativity;Mechanical/Scientific Creativity;Artistic Creativity;Realism;Possibility to act;Quality of interface;Possibility to examine;Self-evaluation of performance;Sounds ;Haptic;tot PQ
50;3;torre con ornamenti;1,5;1,5;2,5;2,5;2,5;2,5;1;0;1;0;1;0;1;0;1;0;0;0;0;20;50;13;18;19;22;31;33;29;32;40;46;39;35;40;21;14;15;9;9;3;5;76
51;3;casa;1;2;2;2;2;1,5;2;0;1;0;1;0;0;0;1;0;0;0;0;16;44;10;16;18;32;34;35;20;38;36;40;34;27;19;28;10;19;11;8;4;5;85
52;3;composizione astratta;4;3;4;4;4;4;4;0;0;0;0;1;0;0;0;1;1;1;0;24;38;11;12;15;19;24;14;28;38;44;41;33;34;32;37;17;19;13;14;3;11;114
53;3;treno;1;2;1,7;2;1,7;1,5;1;0;1;0;1;0;0;0;1;0;0;0;1;14;56;15;18;23;26;27;30;28;29;32;42;32;19;28;30;14;16;12;6;12;9;99
54;3;composizione astratta;4;3;4;4;4;4;4;0;0;0;0;1;0;0;0;1;1;1;0;18;40;7;19;14;23;33;35;30;36;48;42;32;32;31;24;9;15;11;9;18;8;94
55;3;pupazzo di neve;4;3;1;2;1,7;2;1;0;1;0;0;0;0;0;0;0;1;1;0;12;30;10;10;10;21;27;44;29;35;38;34;33;22;42;27;15;12;8;3;5;4;74
56;3;ordine di grandezza;4;4;4;4;4;3;1;0;0;0;0;0;0;0;0;1;1;0;0;22;65;18;26;21;16;35;29;29;27;39;39;15;24;42;24;18;15;14;11;3;13;98
57;3;città;1;1;1;1;1;1,5;2;0;1;0;1;1;0;0;1;0;0;0;1;14;36;9;13;14;29;37;20;31;31;32;35;12;13;39;36;21;15;17;7;4;10;110
58;3;candela;1;2;2;2;2;1,5;1;0;1;0;0;0;0;0;0;0;0;0;0;21;40;11;10;19;27;32;28;33;34;39;37;27;18;22;42;21;11;17;14;3;8;116
59;3;chiesa;1;1;1;2;1,5;2,5;5;0;1;0;1;0;0;0;1;0;0;0;0;22;52;20;14;18;14;35;37;30;29;48;35;20;27;23;40;19;18;19;12;3;13;124
